329.63, 4.0
329.63, 4.0
329.63, 2.0
329.63, 4.0
329.63, 4.0
329.63, 2.0
329.63, 4.0
392.0, 4.0
261.63, 4.0
293.67, 4.0
329.63, 1.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
329.63, 4.0
329.63, 4.0
329.63, 4.0
329.63, 4.0
293.67, 4.0
293.67, 4.0
329.63, 4.0
293.67, 2.0
392.0, 2.0
329.63, 4.0
329.63, 4.0
329.63, 2.0
329.63, 4.0
329.63, 4.0
329.63, 2.0
329.63, 4.0
392.0, 4.0
261.63, 4.0
293.67, 4.0
329.63, 1.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
349.23, 4.0
329.63, 4.0
329.63, 4.0
329.63, 4.0
392.0, 4.0
392.0, 4.0
349.23, 4.0
293.67, 4.0
261.63, 1.0
